peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
96.2,1.71,V,35,0,1,0,19,4,0,N,1,2,3
74.46,1.67,V,22,0,4,3,4,9,0,N,1,2,1
74.92,1.63,M,50,0,0,3,0,3,2,N,1,1,1
70.28,1.67,M,35,20,0,7,3,0,0,N,2,4,3
106.66,1.82,V,53,20,12,4,16,5,0,N,2,4,4
72.96,1.65,M,43,10,10,4,0,2,0,N,0,1,4
47.24,1.62,M,37,180,11,0,16,2,4,N,1,4,4
71.2,1.63,M,44,0,0,2,3,1,0,S,3,4,3
66.42,1.8,V,31,0,0,4,0,6,0,N,3,3,4
75.73,1.71,M,54,0,5,1,3,3,0,N,0,3,3
71.23,1.73,V,49,0,12,0,0,7,0,N,1,2,2
55.76,1.76,V,18,150,0,0,6,1,NA,S,1,2,3
67.64,1.73,V,25,0,0,0,0,0,0,N,1,1,1
50.8,1.68,M,18,110,0,0,4,0,0,N,1,3,2
77.4,1.69,M,52,0,0,0,5,0,6,N,2,4,4
58.84,1.61,M,62,0,0,0,1,0,4,N,0,1,3
58.11,1.6,M,34,0,1,2,2,4,0,N,3,2,3
77.05,1.68,M,56,0,0,0,14,10,0,N,2,2,2
60.52,1.67,M,53,0,5,0,11,14,0,N,4,4,4
101.89,1.68,M,36,0,10,1,6,2,3,N,0,0,0
55.76,1.76,V,22,40,0,1,23,15,0,N,0,2,3
90.32,1.68,M,31,0,0,1,11,2,0,N,2,3,2
103.85,1.73,V,35,0,6,0,10,0,0,N,0,1,0
56.39,1.77,V,58,0,0,0,0,7,0,N,3,4,4
65.84,1.61,M,27,0,0,2,0,0,0,N,1,2,3
62.17,1.75,V,18,0,0,3,0,6,1,N,1,3,4
55.12,1.75,V,30,40,0,2,9,1,0,N,2,4,3
84.53,1.75,V,48,20,5,6,11,7,0,N,3,4,3
78.02,1.61,M,34,0,0,4,0,0,0,N,2,3,2
61.95,1.61,M,18,0,1,0,0,1,0,S,2,3,1
59.62,1.82,V,29,50,0,0,17,13,0,N,3,4,4
61.78,1.78,M,34,0,4,0,0,6,1,N,1,3,3
49,1.65,M,51,140,5,0,0,3,0,N,2,2,3
97.79,1.74,V,36,0,11,0,7,1,0,N,0,1,2
49.6,1.66,V,18,30,2,3,12,9,0,N,0,1,0
59.36,1.71,V,43,30,0,3,16,4,0,N,2,3,4
46.66,1.61,M,57,230,0,0,5,9,2,N,0,2,1
78.83,1.69,M,41,0,7,3,0,2,1,N,1,3,4
73.72,1.76,V,44,0,0,2,1,0,0,N,4,4,3
60.94,1.84,V,24,50,0,0,9,4,0,N,1,2,1
59.25,1.66,V,38,0,0,0,7,7,0,N,2,4,4
82.5,1.56,M,46,0,4,5,10,11,0,S,2,3,1
123.9,1.76,V,24,0,17,0,13,6,0,N,1,1,0
85.68,1.69,V,20,10,1,2,24,14,0,N,2,3,2
73.66,1.68,V,42,0,2,0,14,10,0,N,2,3,4
74.26,1.69,M,48,0,6,0,0,0,0,N,1,3,3
79.62,1.75,V,40,0,2,0,0,0,4,N,0,0,1
47.82,1.63,M,31,40,0,0,19,8,0,N,2,3,3
114.03,1.73,V,27,0,3,2,16,5,0,N,0,1,0
66.54,1.78,V,32,0,15,0,0,12,0,N,4,4,3
105,1.82,V,36,0,1,6,6,4,2,N,2,2,3
89.88,1.54,M,31,0,12,4,0,0,0,N,1,2,1
94.61,1.77,V,57,0,0,1,20,13,0,N,0,1,2
50.8,1.68,M,33,50,16,2,0,0,0,N,0,1,1
95.11,1.69,M,35,0,19,2,1,1,0,N,1,4,4
93.64,1.8,V,38,0,0,0,19,10,0,N,2,3,3
51.41,1.69,M,30,40,3,0,0,3,0,N,1,2,1
67.64,1.73,V,18,0,0,0,2,0,0,N,1,2,4
107.32,1.82,V,30,0,9,4,0,0,0,N,1,2,3
81.46,1.75,V,47,0,0,4,0,0,0,N,1,2,4
55.76,1.76,M,29,20,0,0,0,0,0,N,1,1,1
104.45,1.62,M,59,0,25,0,9,3,0,N,2,4,4
53.87,1.73,M,31,30,0,3,0,2,0,N,0,2,3
55.76,1.76,V,33,70,0,0,0,0,0,N,1,1,3
51.41,1.69,V,30,30,0,0,4,0,4,N,2,4,4
51.41,1.69,M,18,80,0,2,0,7,0,N,0,0,0
108.42,1.76,V,45,0,11,2,0,1,0,N,0,2,0
91,1.79,V,77,0,0,4,0,2,0,N,0,1,2
85.29,1.63,M,40,0,0,0,16,6,3,N,2,2,1
78.66,1.71,V,35,0,0,2,0,0,0,N,1,1,2
98.54,1.78,V,36,0,0,8,8,13,0,N,1,1,1
53.25,1.72,V,23,0,0,0,0,8,0,N,1,1,2
131.04,1.81,V,50,0,0,10,13,8,0,N,1,0,0
123.12,1.8,M,33,0,0,1,20,3,0,N,1,2,4
78.73,1.62,M,25,0,0,0,12,7,0,N,0,0,1
55.12,1.75,V,53,90,3,0,15,9,0,N,2,2,2
54.5,1.74,V,57,70,5,2,0,8,0,N,1,0,0
83.85,1.65,M,23,0,10,1,0,0,0,N,2,2,2
89.49,1.59,M,34,0,9,2,11,2,0,N,1,3,3
72.69,1.65,M,32,0,0,0,0,0,0,N,0,0,0
82.57,1.64,M,40,0,14,0,1,0,4,N,3,3,2
85.5,1.72,V,21,0,0,4,9,9,0,N,0,2,2
94.76,1.74,V,20,0,0,5,7,6,3,N,2,4,3
50.2,1.67,M,46,10,0,0,0,0,0,N,2,2,4
67.91,1.7,V,64,0,0,1,1,0,0,N,1,2,4
70.55,1.69,V,54,0,0,0,6,8,1,N,1,2,0
78.32,1.77,M,59,0,0,3,0,0,0,N,3,4,4
106.25,1.73,V,36,0,1,0,15,0,6,N,1,2,2
61.27,1.7,V,41,0,0,0,2,6,2,N,0,2,1
60.33,1.75,M,45,0,5,0,2,10,0,N,3,4,2
54.78,1.55,M,54,0,0,0,0,3,11,N,2,3,3
121.1,1.74,V,31,0,11,8,8,2,0,N,2,4,2
121.1,1.74,V,43,0,15,1,13,5,0,N,0,0,0
74.13,1.66,V,29,0,9,0,0,0,0,N,2,3,3
77.51,1.74,V,35,0,3,0,8,8,0,N,0,2,2
76.92,1.73,V,46,0,9,0,0,0,0,N,2,4,4
72.75,1.66,M,71,0,6,0,0,0,1,N,0,3,2
76.58,1.7,V,33,0,9,1,0,0,0,N,1,2,3
52.63,1.71,V,48,80,0,5,0,0,0,N,2,4,4
92.19,1.7,V,61,0,0,3,24,19,1,N,0,2,2
120.79,1.79,V,69,0,23,0,0,0,0,N,0,1,0
55.76,1.76,V,21,50,12,1,0,5,0,N,2,3,4
102.02,1.82,V,64,0,3,1,11,9,1,N,1,0,0
57.67,1.79,V,45,40,8,2,10,10,0,N,3,4,4
59.8,1.66,M,18,0,0,0,4,2,0,N,2,3,4
81.23,1.64,M,56,0,0,1,21,14,0,S,1,2,1
50.2,1.67,M,50,120,0,5,16,18,0,N,1,2,3
126.46,1.81,V,42,0,3,6,8,2,0,N,0,2,2
95.55,1.75,V,33,0,3,6,5,8,NA,N,1,2,2
66.1,1.77,V,49,0,0,3,0,5,0,N,2,3,4
105.02,1.72,V,37,0,8,4,0,0,0,N,1,0,0
94.1,1.83,V,37,0,0,0,12,8,3,S,1,1,1
48.41,1.64,M,66,100,3,0,15,12,0,N,0,2,3
53.25,1.72,V,18,110,8,1,2,0,0,N,1,2,2
54.5,1.74,M,53,40,0,0,6,11,0,N,1,1,1
102.06,1.8,V,41,0,0,4,13,12,0,N,1,0,1
96.37,1.73,M,36,0,0,5,4,5,0,N,1,1,1
91.74,1.74,V,58,0,5,0,18,10,0,N,1,4,4
95.13,1.61,M,58,0,0,0,21,1,0,N,2,3,3
49.6,1.66,M,24,110,0,3,11,2,0,N,2,1,1
84.22,1.75,V,66,0,5,1,14,12,0,N,1,2,2
106.56,1.76,V,35,0,8,2,16,7,3,N,2,3,4
74.54,1.69,V,48,0,13,1,0,8,0,N,0,2,3
98.51,1.72,M,56,0,2,4,3,0,0,N,1,2,2
62.66,1.68,M,32,0,1,3,0,6,0,N,2,2,3
83.72,1.72,V,22,0,0,2,19,14,0,N,1,2,3
56.39,1.77,V,18,170,0,2,5,0,0,N,2,3,2
81.97,1.69,M,80,0,2,2,7,1,0,N,3,2,4
79.87,1.68,M,18,0,0,5,0,0,3,N,0,2,3
107.15,1.73,V,45,0,0,0,13,0,0,N,1,1,1
101.89,1.68,M,49,0,21,0,0,0,0,N,0,1,2
88.72,1.7,M,55,0,2,3,8,7,0,N,0,0,1
76.05,1.66,M,61,0,0,0,5,0,0,N,1,2,2
85.15,1.66,M,22,10,0,8,0,0,0,N,0,1,1
45.51,1.59,M,46,140,10,0,18,5,3,N,3,4,4
57.93,1.57,M,64,10,1,5,0,2,0,N,2,3,4
52.63,1.71,V,39,70,0,1,3,2,0,N,4,4,4
76.38,1.64,M,32,0,0,0,16,14,0,N,1,1,0
49,1.65,M,34,60,0,2,16,3,0,N,2,2,0
79.62,1.75,M,45,0,4,1,4,3,1,N,3,3,4
78.41,1.74,M,51,0,0,3,1,5,0,N,3,2,2
56.39,1.77,V,44,120,0,1,5,4,0,N,2,3,3
102.63,1.67,V,53,0,6,1,12,0,0,N,2,3,3
91.68,1.69,V,42,0,2,3,14,8,0,N,2,3,4
66.26,1.69,M,20,0,0,1,0,0,0,N,1,2,2
57.03,1.78,V,33,160,10,0,25,12,0,N,1,1,1
72.97,1.74,V,22,0,0,0,12,15,0,N,0,0,0
123.9,1.76,V,46,0,8,4,25,15,0,N,1,1,2
78.21,1.84,V,60,0,0,2,6,6,0,N,2,3,3
75.08,1.68,V,18,0,0,0,13,4,2,N,1,2,4
57.67,1.79,V,29,50,10,3,5,4,NA,N,1,2,1
88.69,1.67,M,33,0,0,4,0,0,0,N,0,1,1
82.7,1.68,M,29,0,1,3,3,3,0,N,2,1,1
95.4,1.68,V,35,0,14,2,0,2,0,N,1,1,1
110.25,1.75,V,46,0,0,8,0,0,0,N,1,1,2
114.24,1.69,M,29,0,22,7,0,5,0,N,1,2,1
129.6,1.8,V,45,0,21,0,17,6,0,N,1,1,1
82.65,1.7,M,34,0,9,0,0,0,0,N,1,3,3
70,1.67,M,61,0,0,0,0,0,0,N,1,2,2
59.62,1.82,V,42,120,18,5,9,7,8,N,1,2,2
103.35,1.63,M,68,0,18,2,0,0,0,N,0,0,0
59.82,1.7,V,51,0,5,2,8,16,0,N,0,3,3
76.32,1.73,V,41,0,0,0,0,0,0,N,0,1,0
95.96,1.69,V,75,0,7,4,4,1,0,N,1,2,3
122.5,1.75,V,47,0,0,1,16,0,0,N,0,0,0
60.1,1.62,M,69,30,0,5,6,0,0,N,1,3,2
80.49,1.82,V,27,0,0,0,16,10,0,N,2,3,4
85.32,1.84,V,48,0,0,5,0,4,2,N,3,4,4
68.72,1.71,V,30,0,3,0,6,4,0,N,2,4,4
58.97,1.81,V,51,160,0,1,12,15,0,N,1,1,0
71.4,1.67,M,38,0,0,1,0,0,0,N,1,3,2
69.01,1.71,V,61,0,0,0,9,6,0,N,1,2,3
43.8,1.56,M,63,150,0,0,7,3,3,N,2,1,1
101.68,1.75,V,47,0,0,2,27,20,0,N,0,0,0
64.28,1.61,M,18,10,0,0,12,5,0,N,1,1,1
76.33,1.66,M,22,0,3,0,14,6,0,N,3,3,4
115.55,1.86,V,30,0,21,0,0,1,0,N,0,1,2
48.41,1.64,M,19,0,0,0,5,9,0,N,2,3,3
60.28,1.83,V,28,60,0,0,0,4,0,N,2,2,2
47.82,1.63,M,55,70,0,5,12,5,5,N,2,3,2
105.89,1.77,V,30,0,9,0,33,22,2,N,2,4,4
119.72,1.73,V,49,0,0,1,27,8,0,N,1,2,1
67.24,1.66,M,34,0,0,0,18,16,0,N,2,2,2
92.31,1.76,V,28,0,0,3,3,0,0,N,1,1,1
77.59,1.65,M,58,0,0,4,0,4,0,N,0,0,1
64.92,1.68,V,71,0,0,0,0,1,0,N,2,2,2
50.8,1.68,V,49,150,2,7,5,0,0,N,2,3,4
80.68,1.8,M,34,0,0,1,2,0,1,N,1,3,3
76.2,1.68,M,35,0,0,4,0,2,0,N,2,3,3
110.73,1.81,V,42,0,12,0,20,15,0,N,1,2,3
108.48,1.71,M,46,0,14,0,5,0,0,N,1,2,1
55.62,1.72,M,35,40,23,1,0,1,0,N,1,3,2
93.42,1.68,M,28,0,1,0,12,0,0,N,0,1,2
76.52,1.63,M,29,0,0,3,4,1,0,N,0,3,3
53.73,1.66,V,60,0,0,2,0,12,0,N,2,2,1
92.56,1.65,M,36,0,9,5,0,3,3,S,1,2,2
92.02,1.65,M,18,0,0,9,0,2,0,N,0,1,3
55.12,1.75,V,18,70,0,0,4,6,0,N,0,1,1
89.47,1.68,M,18,0,0,2,9,0,0,N,0,2,2
99.68,1.69,M,39,0,8,3,0,1,0,N,1,2,1
113.43,1.73,V,50,0,0,8,0,0,0,N,0,0,0
65.7,1.74,V,42,30,0,1,27,11,0,N,0,1,2
78.53,1.66,M,67,0,7,1,0,0,7,N,1,4,4
114.33,1.71,V,30,0,28,0,5,0,0,S,3,4,4
87.55,1.6,M,27,0,6,1,7,0,0,N,0,0,0
76.33,1.72,V,38,0,0,0,0,0,0,N,0,0,0
113.42,1.84,V,30,0,3,2,20,10,0,N,0,1,2
79.3,1.76,V,37,0,0,3,0,0,0,N,2,4,4
118.34,1.72,M,23,0,16,9,0,1,0,N,1,2,1
93.19,1.72,V,45,0,19,1,0,6,0,N,1,1,1
62.72,1.72,V,35,30,11,6,0,0,1,N,2,3,3
82.83,1.67,M,51,0,0,0,9,0,1,N,0,2,3
83.72,1.72,V,34,0,20,0,0,5,NA,N,0,3,4
58.97,1.81,V,27,30,2,0,0,0,1,N,3,4,4
122.66,1.76,V,21,0,0,5,14,0,0,N,1,2,3
83.94,1.76,V,18,0,0,3,0,0,0,N,2,3,3
69.44,1.73,V,31,0,2,2,0,2,0,N,1,1,3
100.57,1.77,V,38,0,0,4,16,8,0,N,3,4,4
83.02,1.76,M,42,0,0,2,0,0,0,N,0,0,0
48.41,1.64,M,65,100,4,0,16,9,8,N,2,3,2
63.28,1.74,V,26,0,1,0,2,1,0,S,2,4,4
121.3,1.9,V,38,0,13,1,9,2,0,N,1,4,4
57.83,1.64,M,27,0,3,0,4,8,0,N,2,4,3
71.89,1.72,V,27,0,8,0,0,0,0,N,4,4,4
109.19,1.8,V,23,0,10,2,4,5,0,N,0,0,0
68.77,1.76,V,35,0,0,2,1,6,8,N,0,1,2
47.82,1.63,M,18,80,0,0,12,0,0,N,2,2,2
98.09,1.74,V,46,0,0,0,12,0,0,S,1,3,2
77.16,1.7,V,55,0,6,2,0,6,2,N,0,1,0
79.89,1.77,V,53,0,0,2,6,6,0,N,1,4,4
103.77,1.76,V,28,0,7,3,8,0,0,N,2,3,4
50.8,1.68,M,46,30,0,0,0,0,4,N,0,0,1
91.26,1.75,V,27,0,0,5,0,1,0,N,1,1,1
83.92,1.64,M,53,0,11,4,2,6,0,N,2,3,4
96.97,1.73,M,49,0,0,6,0,2,1,N,1,1,1
59.62,1.82,V,48,30,0,1,4,3,1,N,0,2,2
49.6,1.66,M,52,100,0,0,0,3,0,N,2,2,4
86.55,1.71,M,28,0,0,6,0,3,8,N,2,2,2
89.75,1.8,V,18,0,0,0,14,4,0,N,1,2,3
60.94,1.84,V,54,40,0,0,14,11,0,N,1,2,2
67.68,1.75,V,29,0,0,0,0,2,0,N,2,3,1
51.44,1.62,M,18,0,0,0,8,12,0,N,2,3,3
56.39,1.77,V,33,100,7,0,18,13,0,N,1,3,4
98.61,1.75,V,65,0,10,2,0,0,0,N,2,3,3
57.16,1.73,V,18,0,3,0,0,7,0,N,3,4,3
96.74,1.72,V,18,10,14,4,6,4,0,N,0,3,3
53.25,1.72,M,45,140,0,6,0,0,1,N,1,2,2
51.41,1.69,M,24,180,3,2,0,6,1,N,2,3,3
103.68,1.61,M,55,0,23,1,13,0,0,N,2,4,2
97.51,1.84,V,46,0,10,1,0,0,0,N,2,4,4
51.41,1.69,M,28,120,18,0,3,0,0,N,1,2,3
60.28,1.83,V,37,80,0,3,17,15,0,N,1,3,2
67.53,1.76,V,40,0,0,3,0,10,0,N,1,1,1
79.97,1.63,M,46,0,14,3,6,12,8,N,1,1,4
73.41,1.7,M,31,0,0,0,0,0,0,N,0,0,0
53.87,1.73,V,42,70,0,1,1,5,0,N,4,4,4
78.99,1.72,V,36,0,4,0,11,8,0,N,1,3,3
85.68,1.74,V,25,0,2,0,9,4,4,S,1,2,2
68.14,1.56,M,33,0,0,4,0,4,2,N,0,0,1
91.07,1.84,V,25,0,0,2,5,0,0,N,3,3,4
92.86,1.68,V,37,0,9,2,6,6,0,N,0,1,0
49,1.65,M,44,50,0,2,0,2,4,N,1,3,1
70.5,1.57,M,31,0,0,0,19,13,0,N,2,2,3
102.51,1.66,M,48,0,9,1,15,8,0,N,1,1,1
58.92,1.58,M,46,10,0,0,7,0,0,N,1,3,2
110.22,1.66,V,41,0,5,4,12,5,0,N,0,0,0
85.55,1.78,V,27,0,7,0,6,0,0,N,2,4,4
53.25,1.72,V,28,110,0,2,0,1,0,N,2,3,2
46.08,1.6,M,52,70,0,3,0,3,0,S,3,4,4
52.61,1.63,M,59,0,8,0,0,9,0,N,0,2,3
49.6,1.66,M,75,50,13,0,3,4,0,N,1,3,4
93.49,1.72,V,19,0,4,4,0,0,0,N,0,2,2
52.15,1.67,M,36,10,1,0,15,11,0,N,3,4,4
53.87,1.73,V,18,120,0,0,2,5,0,N,0,0,1
48.41,1.64,M,38,70,2,0,0,0,0,N,3,4,2
68.69,1.8,V,48,20,0,0,17,13,0,N,1,0,0
61.41,1.58,M,49,10,6,0,8,2,0,N,1,3,2
90.07,1.8,V,64,0,2,5,5,10,4,N,1,4,3
78.71,1.75,V,36,0,3,2,0,0,0,N,1,1,3
73.66,1.72,M,55,0,13,0,0,7,0,N,2,3,4
84.78,1.67,M,38,0,4,1,0,0,0,N,0,1,0
62.26,1.69,M,63,30,1,3,15,6,0,N,0,0,0
105.98,1.67,V,38,0,8,3,7,2,0,N,0,0,0
67.52,1.65,M,52,0,0,1,0,0,0,N,1,2,3
113.41,1.77,M,27,0,20,3,0,7,0,N,1,1,0
103.61,1.66,M,33,0,0,0,14,0,0,N,1,2,0
108.19,1.71,V,60,0,1,5,17,6,0,N,1,4,4
80.04,1.67,M,28,0,8,0,20,17,0,N,3,3,2
100.12,1.8,V,53,0,0,6,0,4,0,N,1,2,1
53.25,1.72,M,69,80,0,0,12,12,11,N,1,3,3
92.87,1.67,M,25,0,10,2,0,0,0,N,1,0,0
60.59,1.8,V,35,0,0,0,0,4,0,N,1,2,3
90.93,1.78,M,43,0,0,4,0,2,0,N,0,0,1
75.39,1.58,M,53,0,0,3,1,0,0,N,0,0,1
94.76,1.74,V,63,0,0,1,16,8,0,N,1,1,1
65.25,1.73,V,43,0,0,4,4,10,0,N,2,3,4
95.11,1.68,M,21,0,0,3,15,7,0,N,0,1,2
102.45,1.68,M,48,0,0,7,7,0,0,N,2,3,4
80.04,1.62,V,63,0,0,3,22,14,2,N,1,3,4
53.25,1.72,V,37,130,0,0,3,0,0,N,1,1,1
98.84,1.7,V,56,0,9,0,8,2,0,N,0,2,2
43.25,1.55,M,31,40,3,6,0,7,0,N,1,4,4
66.13,1.62,M,63,0,0,1,1,0,0,N,1,4,3
98.31,1.75,M,60,0,10,0,11,6,0,S,2,3,2
82.26,1.69,M,67,0,0,3,0,0,0,N,2,3,1
93.08,1.82,V,25,0,0,2,0,0,0,N,1,1,0
50.2,1.67,M,66,90,0,1,0,0,0,N,2,3,4
75.92,1.68,M,48,0,4,0,0,0,0,N,1,2,2
107.15,1.73,M,33,0,11,5,0,0,0,N,2,3,2
102.4,1.6,M,53,0,11,2,11,1,0,N,0,0,0
87.19,1.74,V,47,0,9,3,0,0,0,N,2,4,4
55.02,1.55,M,21,10,0,0,5,2,6,N,1,1,0
112.9,1.68,M,30,0,0,4,28,14,0,N,0,0,0
53.87,1.73,M,44,40,0,0,14,0,0,N,3,4,4
91.28,1.73,V,27,0,1,1,19,16,3,N,0,0,0
86.58,1.65,M,41,0,0,7,0,0,0,N,1,2,3
110.22,1.66,M,57,0,16,0,17,0,0,N,2,4,4
93.71,1.75,V,22,0,5,0,5,0,0,N,3,4,2
79.5,1.65,M,18,0,5,3,7,5,0,N,1,3,3
72.73,1.73,V,31,0,2,0,0,0,0,N,0,2,2
50.8,1.68,M,35,200,11,0,0,0,0,N,0,2,1
50.2,1.67,M,36,60,0,0,9,2,0,N,2,3,4
46.66,1.61,M,48,120,4,0,16,8,0,N,2,2,2
78.74,1.68,M,48,0,1,0,9,8,0,N,1,1,0
81.63,1.58,M,52,0,0,0,23,11,0,N,2,4,2
46.66,1.61,M,29,80,11,0,0,0,8,N,1,1,3
76.36,1.78,V,18,0,11,2,0,6,0,N,2,2,3
82.41,1.68,M,46,0,0,2,0,0,0,N,1,1,0
47.82,1.63,M,18,40,4,2,12,0,0,N,2,4,4
49,1.65,M,39,90,5,0,0,1,0,N,1,1,1
85.21,1.77,V,43,10,9,4,0,5,0,N,1,3,1
113.9,1.72,V,55,0,3,2,19,4,0,N,2,3,2
80.08,1.87,V,28,0,3,2,0,7,0,N,1,2,3
94.3,1.59,M,36,0,31,0,0,5,2,N,1,2,2
44.37,1.57,M,35,190,3,0,18,8,4,N,0,2,2
88.25,1.69,M,27,0,0,3,6,6,0,N,0,1,0
79.88,1.72,M,56,0,10,1,4,6,1,N,1,3,4
47.24,1.62,V,48,40,0,2,0,0,0,N,1,0,1
76.68,1.78,V,35,0,0,3,0,5,0,N,2,3,3
49.05,1.57,M,27,0,0,0,0,0,0,N,3,3,4
84.6,1.78,V,39,0,0,0,10,1,0,N,3,4,4
55.76,1.76,V,32,20,0,1,6,3,0,S,2,3,2
68.55,1.69,M,19,10,0,1,12,6,0,N,2,2,2
97.3,1.81,V,48,0,7,0,9,2,0,N,4,4,4
93.33,1.64,M,49,0,0,5,8,4,0,N,0,1,2
63.59,1.67,M,36,0,2,0,13,13,0,N,0,3,3
108.65,1.82,V,67,30,22,5,10,0,0,N,3,4,4
98.22,1.78,V,54,0,7,0,1,0,0,N,1,0,0
52.63,1.71,V,22,60,5,4,0,0,0,N,1,3,3
91.09,1.82,V,25,0,0,1,0,0,0,N,2,2,0
59.62,1.82,V,52,20,0,0,5,0,0,N,1,2,3
91.73,1.81,V,38,0,1,1,15,9,0,N,2,4,4
75.69,1.61,M,19,10,7,0,27,16,0,N,3,4,3
74.22,1.73,V,62,0,0,0,9,7,0,S,2,4,3
97.19,1.65,V,33,0,12,0,17,11,0,N,1,1,0
109.51,1.68,M,58,0,10,4,4,0,0,N,0,0,1
85.68,1.74,V,29,0,4,2,0,0,0,N,0,2,3
88.89,1.71,V,72,0,0,2,3,0,0,N,0,2,2
97.08,1.75,V,67,0,1,0,12,2,0,N,0,3,2
72.54,1.69,M,38,0,0,0,18,14,0,N,1,2,4
85.6,1.73,M,18,0,0,4,1,0,0,N,2,4,2
45.51,1.59,M,35,80,8,0,0,3,0,N,1,3,3
59.26,1.73,V,43,0,0,0,7,11,5,N,0,0,1
77.94,1.78,V,50,0,0,3,4,5,0,N,2,3,4
52.02,1.7,M,36,70,0,0,11,0,0,N,0,1,1
53.25,1.72,M,37,100,0,0,0,1,1,N,0,0,1
86.68,1.72,M,48,0,2,5,3,1,0,N,2,4,4
48.41,1.64,M,43,120,9,0,9,9,3,N,1,2,1
41.04,1.51,M,43,120,7,0,19,10,0,N,0,3,1
50.8,1.68,M,56,120,0,2,4,2,0,N,0,2,2
75.44,1.71,M,38,0,2,0,0,0,0,N,0,0,1
49.6,1.66,M,53,100,7,5,20,8,7,N,3,4,4
76.78,1.63,M,51,0,1,6,7,16,0,N,0,1,1
133.96,1.83,V,55,0,7,4,10,0,0,N,1,1,2
74.42,1.75,V,18,10,0,0,15,4,6,N,2,4,4
97.43,1.77,V,27,0,0,5,0,1,0,N,0,0,1
112.82,1.69,V,45,0,13,7,0,0,0,N,1,2,3
61.98,1.55,M,32,0,0,3,0,1,4,N,2,3,4
84.32,1.66,V,47,0,0,3,0,0,1,N,1,2,0
73.87,1.74,V,38,10,0,7,0,7,0,N,1,1,1
76.92,1.72,V,50,0,7,0,2,7,0,N,3,2,0
55.76,1.76,V,54,70,0,7,0,0,2,N,2,2,2
79.11,1.69,M,51,0,0,0,1,0,0,N,1,2,0
49.6,1.66,V,47,80,0,0,4,0,0,N,2,3,2
46.66,1.61,M,23,50,2,0,2,14,0,N,1,1,2
67.79,1.65,M,35,0,0,4,0,3,0,N,2,3,4
69.02,1.62,M,40,0,0,1,13,13,0,N,2,2,1
85.75,1.75,V,56,10,0,0,14,2,0,N,1,3,3
56.39,1.77,M,49,40,0,5,5,1,0,N,0,2,4
58.32,1.8,V,64,120,9,3,6,10,0,N,1,2,3
57.67,1.79,V,18,70,0,3,0,1,3,N,2,4,4
74.79,1.68,M,21,0,2,2,0,0,0,N,1,1,2
89.42,1.83,V,43,0,7,4,6,10,0,N,2,3,4
54.5,1.74,V,57,30,0,2,6,10,0,N,0,2,3
57.67,1.79,V,40,70,0,2,0,0,0,S,2,3,3
72.97,1.74,V,32,0,0,1,4,3,0,N,2,3,3
58.57,1.67,M,20,0,0,0,20,20,0,N,3,4,3
59.62,1.82,V,41,40,0,0,24,17,0,N,1,3,2
55.47,1.61,M,33,20,7,0,9,2,0,N,1,1,2
65.31,1.66,M,29,0,0,0,9,8,0,N,1,3,2
61.61,1.85,V,53,40,13,0,0,0,0,N,0,1,1
84.53,1.75,V,50,0,0,0,10,7,0,S,1,1,2
76.23,1.65,M,47,0,6,0,0,0,0,N,2,2,2
97.68,1.7,V,81,0,5,3,7,0,0,N,2,4,4
93.6,1.64,M,41,0,3,6,0,0,0,N,1,1,2
47.24,1.62,M,50,50,0,7,0,0,0,S,0,0,0
52.02,1.7,M,65,20,0,0,0,0,0,N,0,1,1
72.45,1.6,M,53,0,3,0,12,3,0,N,3,4,4
46.66,1.61,M,22,0,0,0,5,18,0,N,2,3,3
97.68,1.7,V,22,0,5,6,0,0,0,N,2,4,3
47.1,1.6,M,48,20,3,0,10,6,0,N,1,3,2
68.02,1.63,M,32,0,12,1,7,15,0,N,2,3,2
73.41,1.76,V,40,0,0,1,13,12,0,N,2,4,3
115.6,1.7,M,58,0,24,0,6,0,0,N,2,4,2
83.72,1.61,M,51,0,6,3,0,0,0,N,1,1,0
95.66,1.67,M,43,0,17,2,3,4,5,N,1,2,3
115.15,1.75,V,43,0,20,0,9,0,0,N,2,4,4
72.71,1.57,M,30,0,13,0,5,2,0,N,2,4,4
82.84,1.64,M,75,0,10,3,0,0,0,N,2,4,4
48.41,1.64,M,18,40,0,0,7,0,0,N,1,3,4
67.33,1.6,M,25,0,11,0,0,0,4,N,1,3,4
84.95,1.68,V,52,0,2,2,0,0,0,N,1,2,1
107.58,1.64,M,52,0,9,3,17,11,0,N,1,3,0
115.65,1.74,V,60,0,2,7,2,0,0,N,0,0,1
55.41,1.64,M,18,10,0,2,13,9,0,N,2,4,4
86.58,1.61,M,39,0,0,5,5,4,0,N,3,3,1
86.78,1.82,V,60,0,0,0,4,4,0,N,1,1,0
53.87,1.73,M,29,30,0,0,3,2,0,N,1,3,3
107.58,1.64,M,32,0,12,0,17,0,0,N,2,1,1
96.69,1.61,M,24,0,6,8,0,0,0,N,1,4,4
86.98,1.72,V,44,0,0,3,1,0,0,N,0,1,1
84.72,1.64,M,70,0,4,5,0,0,0,N,3,4,4
76.87,1.75,V,53,0,0,1,3,0,0,N,3,4,4
54.5,1.74,V,75,230,0,0,2,0,1,N,1,2,2
53.25,1.72,M,29,50,0,2,7,0,0,N,1,3,3
